poem_id,title,route_id,created_at,text_length,line_count,form,themes,imagery,emotions,sound_devices
poem_MARTA_5_20260124_163409,Route 5 - Peachtree - 2026-01-24 16:34,MARTA_5,2026-01-24T16:34:09.750887,724,12,free_verse,urban_life; commute; rhythm; dawn,cauldron; clattering wheels; amber lights; coffee cups; glass towers; granite sidewalks; rails; skyscrapers; phone screens aflame; footprints,energetic; anticipatory; hopeful,alliteration; repetition; anaphora; assonance; consonance; onomatopoeia
poem_MARTA_5_20260124_163506,Route 5 - Peachtree - 2026-01-24 16:35,MARTA_5,2026-01-24T16:35:06.582595,493,11,free_verse,urban_life; movement; morning; rhythm; energy,dawn; dappled gold; skyscraper shadows; buses; sidewalk; voices volley; neon signs; tires tick; asphalt; rolling arteries,energetic; vibrant; anticipatory; alive,alliteration; internal_rhyme; assonance; consonance; onomatopoeia
poem_MARTA_27324_20260124_163806,MARTA_27324 - 2026-01-24 16:38,MARTA_27324,2026-01-24T16:38:06.602187,639,12,free_verse,urban_life; transition; isolation; memory; routine,hollow hum of steel wheels; afternoon lull; gutters holding sunlight; red-brick echoes; distant thrum of the city’s pulse; asphalt veins; flickering lamps; blank page; classical whisper; clang of innovation,contemplative; lonely; reflective,alliteration; repetition; anaphora; assonance; consonance; onomatopoeia
poem_MARTA_27329_20260124_164004,MARTA_27329 - 2026-01-24 16:40,MARTA_27329,2026-01-24T16:40:04.876007,493,10,free_verse,urban_life; transition; isolation; connectivity; memory,silver artery; cracked sidewalks; cool steel folds; half-forgotten gold; breathmarks; empty seats; leather handles; digital fare cards; living seam; new skylines,contemplative; lonely; hopeful; calm,alliteration; internal_rhyme; slant_rhyme; anaphora; assonance; consonance; onomatopoeia
poem_MARTA_27448_20260124_164516,MARTA_27448 - 2026-01-24 16:45,MARTA_27448,2026-01-24T16:45:16.687005,715,16,free_verse,urban_life; movement; technology; memory; rhythm,neon wires; asphalt nights; silver veins; office towers; glowing windows; lantern-like breath; homunculus; streetlight; dusk; invisible seam,contemplative; tense; restless; awe,alliteration; consonance; assonance; slant_rhyme; repetition; anaphora; onomatopoeia
poem_MARTA_27448_20260124_164812,MARTA_27448 - 2026-01-24 16:48,MARTA_27448,2026-01-24T16:48:12.586340,594,11,free_verse,urban_life; transition; nostalgia; rhythm; connection,streetlamps; fevered footsteps; old brick; new glass; shimmer of dusk; silent chord; fresh asphalt; street art; vines; neon hum,contemplative; nostalgic; vibrant,alliteration; anaphora; assonance; consonance
poem_MARTA_5_20260124_165920,"Dawn's Commute
By Route 5 - Peachtree",MARTA_5,2026-01-24T16:59:20.339658,496,12,free_verse,urban_life; transition; routine; hope,dawn; downtown’s pulse; sidewalks; suits; coffee; horns; asphalt; glass; vertical canyons; echoes,energetic; anticipation; hopeful,alliteration; internal_rhyme; repetition; assonance; consonance; onomatopoeia
poem_MARTA_21_20260124_170000,"Night Shift
By Route 21 - Memorial Drive",MARTA_21,2026-01-24T17:00:00.176701,710,12,free_verse,urban_life; rebellion; night; defiance; isolation,midnight moons; cracked pavement; ghost wasp; sax on cinderblock; streetlamps; soot-smeared alleys; moths; shivering scaffolds; crumbling brick; poised blade (dawn),tense; defiant; ominous; restless,alliteration; slant_rhyme; internal_rhyme; assonance; consonance; onomatopoeia
poem_MARTA_5_20260124_170206,"Morning Pulse
By Route 5 - Peachtree",MARTA_5,2026-01-24T17:02:06.640527,529,12,free_verse,urban_life; transition; rhythm; morning; routine,metal silhouettes; glass giants; cardboard corners; river of reflections; coffee-scented breath; fractured fireworks; tiled thresholds; lamplit hush; footfalls; downtown pulse,restless; anticipatory; energetic; tense,alliteration; assonance; consonance; internal_rhyme
poem_MARTA_27333_20260124_170341,"Awakening Streets
By MARTA_27333",MARTA_27333,2026-01-24T17:03:41.259192,457,10,free_verse,urban_life; transition; routine; connectivity; beginning,dawn; streetlights; damp pavement; amber glow; humming arcades; glassy storefronts; footfalls; Morse code; arteries of asphalt; paper cups,contemplative; anticipatory; hopeful,alliteration; slant_rhyme; repetition; assonance; consonance; onomatopoeia
